title,speaker_name,mosque,city,region,category,audience,delivery,schedule,lesson_time,description,status,day_of_week,external_key,is_recurring,has_women_place,activity_type,is_course,course_id,session_count,linked_titles,keywords,start_date
تفسير سورة النحل,د. عثمان بن محمد الخميس,مسجد موضي,العاصمة,الصديق,تفسير,الكل,كلاهما,الجمعة — بعد صلاة المغرب,بعد صلاة المغرب,المتابعة الحالية: البداية من الآية رقم 40. · درس أسبوعي ثابت، والمتابعة الحالية تبدأ من الآية 40.,approved,الجمعة,kw-othman-tafsir-nahl-0,true,false,درس,false,,,,"{""تفسير""}",
قراءة كتاب صحيح مسلم,د. عثمان بن محمد الخميس,مسجد الياقوت,العاصمة,الصديق,حديث,الكل,كلاهما,السبت — 10:00 صباحاً,10:00 صباحاً,المتابعة الحالية: الحديث 989 – الصفحة 400. · درس أسبوعي ثابت، والمتابعة الحالية تبدأ من الحديث 989 عند الصفحة 400.,approved,السبت,kw-othman-sahih-muslim-0,true,false,درس,false,,,,"{""حديث""}",
شرح كتاب تلخيص مختصر المقنع,د. عثمان بن محمد الخميس,مسجد الياقوت,العاصمة,الصديق,فقه,الكل,كلاهما,الأربعاء — بعد صلاة المغرب,بعد صلاة المغرب,آخر التحديثات: «المحرمات إلى أمد» ثم «باب الشروط في النكاح – القسم الثاني». · درس أسبوعي ثابت في الفقه.,approved,الأربعاء,kw-othman-talkhis-mukhtasar-almuqni-0,true,false,درس,false,,,,"{""فقه""}",
الدورة العلمية التأصيلية — بلوغ المرام من أدلة الأحكام,د. راشد صليهم فهد الصليهم,مسجد أبي واقد الليثي,العاصمة,القيروان,تأصيل,الكل,حضور فقط,الاثنين — 6:00 مساءً,6:00 مساءً,الجلسة الأولى — قبل المغرب بساعة. · برنامج علمي أسبوعي بثلاث جلسات متتابعة في اليوم نفسه.,approved,الاثنين,kw-rashed-fundamental-course-0,true,false,دورة,true,الدورة العلمية التأصيلية,3,"{""بلوغ المرام من أدلة الأحكام"",""القواعد المثلى في صفات الله وأسمائه الحسنى"",""قراءة في كتاب دعوى تعارض السنة النبوية مع العلم التجريبي""}","{""تأصيل""}",
الدورة العلمية التأصيلية — القواعد المثلى في صفات الله وأسمائه الحسنى,د. راشد صليهم فهد الصليهم,مسجد أبي واقد الليثي,العاصمة,القيروان,تأصيل,الكل,حضور فقط,الاثنين — 7:20 مساءً,7:20 مساءً,الجلسة الثانية — وقت المغرب. · برنامج علمي أسبوعي بثلاث جلسات متتابعة في اليوم نفسه.,approved,الاثنين,kw-rashed-fundamental-course-1,true,false,دورة,true,الدورة العلمية التأصيلية,3,"{""بلوغ المرام من أدلة الأحكام"",""القواعد المثلى في صفات الله وأسمائه الحسنى"",""قراءة في كتاب دعوى تعارض السنة النبوية مع العلم التجريبي""}","{""تأصيل""}",
الدورة العلمية التأصيلية — قراءة في كتاب دعوى تعارض السنة النبوية مع العلم التجريبي,د. راشد صليهم فهد الصليهم,مسجد أبي واقد الليثي,العاصمة,القيروان,تأصيل,الكل,حضور فقط,الاثنين — 8:50 مساءً,8:50 مساءً,الجلسة الثالثة — بعد العشاء. · برنامج علمي أسبوعي بثلاث جلسات متتابعة في اليوم نفسه.,approved,الاثنين,kw-rashed-fundamental-course-2,true,false,دورة,true,الدورة العلمية التأصيلية,3,"{""بلوغ المرام من أدلة الأحكام"",""القواعد المثلى في صفات الله وأسمائه الحسنى"",""قراءة في كتاب دعوى تعارض السنة النبوية مع العلم التجريبي""}","{""تأصيل""}",
قراءة كتب متنوعة والتفسير الواضح,د. منصور بن ناصر الخالدي,مسجد العلاء بن عقبة,العاصمة,الفردوس,تفسير,الكل,حضور فقط,الجمعة — بعد صلاة الفجر,بعد صلاة الفجر,يوجد مكان مخصص للنساء. · مجلس أسبوعي بعد الفجر بصيغة قراءة وتعليق، مع مكان مخصص للنساء.,approved,الجمعة,kw-mansour-altafsir-alwadih-0,true,true,درس,false,,,,"{""تفسير""}",
شرح كتاب الصلاة من إعانة الطالب,الشيخ أسامة الشطي,مسجد أحمد العميري,العاصمة,الكويت,فقه,الكل,كلاهما,الثلاثاء — 6:00 مساءًساءً إلى صلاة العشاء,6:00 مساءًساءً إلى صلاة العشاء,ابتداءً من يوم الثلاثاء 2026/06/09، مع نقل مباشر عبر قناة معهد الأندلس الشرعي. · برنامج حضوري في المسجد، مع نقل مباشر عبر معهد الأندلس.,approved,الثلاثاء,kw-osama-shatti-prayer-book-0,true,false,درس,false,,,,"{""فقه""}",2026-06-09
